recipe,ingredient,grams,kcal_100,protein_100,fat_100,carbs_100,fiber_100,protein_contribution,kcal_contribution
Говядина с булгуром,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Говядина с булгуром,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Говядина с булгуром,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Говядина с гречкой и свёклой,Говядина,160,176,21.4,10.0,0,0,34.24,281.6
Говядина с гречкой и свёклой,Гречка,75,343,13,3.4,72,10,9.75,257.2
Говядина с гречкой и свёклой,Свёкла,150,43,1.6,0.2,10,2.8,2.4,64.5
Говядина с гречкой и свёклой,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Говядина с гречкой и свёклой,Уксус бальзамический,12,88,0.5,0,17,0,0.06,10.6
Говядина с гречкой и свёклой,Оливковое масло,11,884,0,100,0,0,0.0,97.2
Говядина с гречкой и свёклой,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Говядина с гречкой и свёклой,Соль,0.9,0,0,0,0,0,0.0,0.0
Говядина с гречкой и свёклой,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Говядина с гречкой и свёклой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Говядина с гречкой и свёклой,Уксус винный,8,19,0,0,0.3,0,0.0,1.5
Свинина с картофелем и капустой,Свинина постная,160,143,21.4,5.7,0,0,34.24,228.8
Свинина с картофелем и капустой,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Свинина с картофелем и капустой,Капуста,150,25,1.3,0.1,5.8,2.5,1.95,37.5
Свинина с картофелем и капустой,Оливковое масло,19,884,0,100,0,0,0.0,168.0
Свинина с картофелем и капустой,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Свинина с картофелем и капустой,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Свинина с картофелем и капустой,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Свинина с картофелем и капустой,Соль,0.9,0,0,0,0,0,0.0,0.0
Свинина с картофелем и капустой,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Свинина с картофелем и капустой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Свинина с картофелем и капустой,Уксус винный,8,19,0,0,0.3,0,0.0,1.5
Лосось с киноа и авокадо,Киноа,70,368,14,6,64,7,9.8,257.6
Лосось с киноа и авокадо,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Лосось с киноа и авокадо,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Лосось с киноа и авокадо,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Лосось с киноа и авокадо,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Лосось с киноа и авокадо,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Лосось с киноа и авокадо,Соль,0.8,0,0,0,0,0,0.0,0.0
Лосось с киноа и авокадо,Лосось свежий,160,208,20,13,0,0,32.0,332.8
Лосось с картофелем и брокколи,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Лосось с картофелем и брокколи,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Лосось с картофелем и брокколи,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Лосось с картофелем и брокколи,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Лосось с картофелем и брокколи,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Лосось с картофелем и брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Лосось с картофелем и брокколи,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Лосось с картофелем и брокколи,Лосось свежий,160,208,20,13,0,0,32.0,332.8
Форель с булгуром,Форель,160,148,20.5,6.5,0,0,32.8,236.8
Форель с булгуром,Булгур,75,342,12,1.3,76,12.5,9.0,256.5
Форель с булгуром,Зелёная фасоль,160,31,1.8,0.2,7,3.4,2.88,49.6
Форель с булгуром,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Форель с булгуром,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Форель с булгуром,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Форель с булгуром,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Форель с булгуром,Соль,0.8,0,0,0,0,0,0.0,0.0
Форель с булгуром,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Треска с рисом и овощами,Треска,190,82,18,0.7,0,0,34.2,155.8
Треска с рисом и овощами,Рис,75,360,7,1,79,1.3,5.25,270.0
Треска с рисом и овощами,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Треска с рисом и овощами,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Треска с рисом и овощами,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Треска с рисом и овощами,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Треска с рисом и овощами,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Треска с рисом и овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Треска с рисом и овощами,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Треска с картофелем,Треска,190,82,18,0.7,0,0,34.2,155.8
Треска с картофелем,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Треска с картофелем,Капуста,150,25,1.3,0.1,5.8,2.5,1.95,37.5
Треска с картофелем,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Треска с картофелем,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Треска с картофелем,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Треска с картофелем,Соль,0.8,0,0,0,0,0,0.0,0.0
Треска с картофелем,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Свежий тунец с бурым рисом и авокадо,Рис бурый,75,370,7.9,2.9,77,3.5,5.92,277.5
Свежий тунец с бурым рисом и авокадо,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Свежий тунец с бурым рисом и авокадо,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Свежий тунец с бурым рисом и авокадо,Тунец свежий,160,109,24.4,0.5,0,0,39.04,174.4
Свежий тунец с бурым рисом и авокадо,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Свежий тунец с бурым рисом и авокадо,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Свежий тунец с бурым рисом и авокадо,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Свежий тунец с бурым рисом и авокадо,Соль,0.8,0,0,0,0,0,0.0,0.0
Свежий тунец с бурым рисом и авокадо,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Свежий тунец с цельнозерновой пастой и томатами,Макароны цельнозерновые,80,348,14,2.5,64,8,11.2,278.4
Свежий тунец с цельнозерновой пастой и томатами,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Свежий тунец с цельнозерновой пастой и томатами,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Свежий тунец с цельнозерновой пастой и томатами,Тунец свежий,160,109,24.4,0.5,0,0,39.04,174.4
Свежий тунец с цельнозерновой пастой и томатами,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Свежий тунец с цельнозерновой пастой и томатами,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Свежий тунец с цельнозерновой пастой и томатами,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Свежий тунец с цельнозерновой пастой и томатами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Свежий тунец с цельнозерновой пастой и томатами,Базилик,3,23,3.2,0.6,2.7,1.6,0.1,0.7
Свежий тунец с цельнозерновой пастой и томатами,Соль,0.8,0,0,0,0,0,0.0,0.0
Креветки с цельнозерновой пастой,Креветки сырые,180,85,20.1,0.5,0.2,0,36.18,153.0
Креветки с цельнозерновой пастой,Макароны цельнозерновые,80,348,14,2.5,64,8,11.2,278.4
Креветки с цельнозерновой пастой,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Креветки с цельнозерновой пастой,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Креветки с цельнозерновой пастой,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Креветки с цельнозерновой пастой,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Креветки с цельнозерновой пастой,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Креветки с цельнозерновой пастой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Креветки с цельнозерновой пастой,Базилик,3,23,3.2,0.6,2.7,1.6,0.1,0.7
Креветки с цельнозерновой пастой,Соль,0.8,0,0,0,0,0,0.0,0.0
Креветки с рисом и брокколи,Креветки сырые,180,85,20.1,0.5,0.2,0,36.18,153.0
Креветки с рисом и брокколи,Рис,75,360,7,1,79,1.3,5.25,270.0
Креветки с рисом и брокколи,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Креветки с рисом и брокколи,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Креветки с рисом и брокколи,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Креветки с рисом и брокколи,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Креветки с рисом и брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Креветки с рисом и брокколи,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Скумбрия с картофелем,Скумбрия,150,205,19,14,0,0,28.5,307.5
Скумбрия с картофелем,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Скумбрия с картофелем,Салат,100,15,1.4,0.2,2.9,1.3,1.4,15.0
Скумбрия с картофелем,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Скумбрия с картофелем,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Скумбрия с картофелем,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Скумбрия с картофелем,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Скумбрия с картофелем,Соль,0.8,0,0,0,0,0,0.0,0.0
Скумбрия с картофелем,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Чечевица с киноа и шпинатом,Чечевица готовая,100,116,9.0,0.4,20.1,7.9,9.0,116.0
Чечевица с киноа и шпинатом,Киноа,70,368,14,6,64,7,9.8,257.6
Чечевица с киноа и шпинатом,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Чечевица с киноа и шпинатом,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Чечевица с киноа и шпинатом,Тахини,33,595,17,54,21,9.3,5.61,196.3
Чечевица с киноа и шпинатом,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Чечевица с киноа и шпинатом,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Чечевица с киноа и шпинатом,Соль,0.7,0,0,0,0,0,0.0,0.0
Чечевица с киноа и шпинатом,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Нут с тыквой и киноа,Нут готовый,130,164,8.9,2.6,27.4,7.6,11.57,213.2
Нут с тыквой и киноа,Тыква,180,26,1,0.1,6.5,0.5,1.8,46.8
Нут с тыквой и киноа,Киноа,70,368,14,6,64,7,9.8,257.6
Нут с тыквой и киноа,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Нут с тыквой и киноа,Тахини,33,595,17,54,21,9.3,5.61,196.3
Нут с тыквой и киноа,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Нут с тыквой и киноа,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Нут с тыквой и киноа,Соль,0.7,0,0,0,0,0,0.0,0.0
Нут с тыквой и киноа,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Фасоль с бурым рисом,Фасоль готовая,130,127,8.7,0.5,22.8,6.4,11.31,165.1
Фасоль с бурым рисом,Рис бурый,75,370,7.9,2.9,77,3.5,5.92,277.5
Фасоль с бурым рисом,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Фасоль с бурым рисом,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Фасоль с бурым рисом,Тахини,33,595,17,54,21,9.3,5.61,196.3
Фасоль с бурым рисом,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Фасоль с бурым рисом,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Фасоль с бурым рисом,Соль,0.7,0,0,0,0,0,0.0,0.0
Фасоль с бурым рисом,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тофу с гречкой и брокколи,Тофу,180,144,17,9,3,2,30.6,259.2
Тофу с гречкой и брокколи,Гречка,75,343,13,3.4,72,10,9.75,257.2
Тофу с гречкой и брокколи,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Тофу с гречкой и брокколи,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Тофу с гречкой и брокколи,Соевый соус,30,53,8.1,0.6,4.9,0.8,2.43,15.9
Тофу с гречкой и брокколи,Имбирь,8,80,1.8,0.8,17.8,2,0.14,6.4
Тофу с гречкой и брокколи,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Тофу с рисом и овощами,Тофу,180,144,17,9,3,2,30.6,259.2
Тофу с рисом и овощами,Рис,75,360,7,1,79,1.3,5.25,270.0
Тофу с рисом и овощами,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
